Classificadores	Modelos	Acuracias	Desvios
NB	A	74.78	1.96
DT	A	73.80	2.17
SVM	A	74.93	1.98
LR	A	74.83	2.01
Adaboost	A	74.24	1.92
NB	B	74.88	2.38
DT	B	74.31	3.65
SVM	B	75.82	5.81
LR	B	79.07	2.59
Adaboost	B	87.92	2.43
NB	C	64.59	8.63
DT	C	72.58	3.70
SVM	C	75.04	7.05
LR	C	78.72	2.56
Adaboost	C	86.92	2.53
NB	D	63.28	9.63
DT	D	73.70	3.79
SVM	D	71.61	8.75
LR	D	78.97	2.30
Adaboost	D	87.23	1.98
