Classificadores	Modelos	Acuracias	Desvios
NB	A	74.50	4.63
DT	A	74.80	4.69
SVM	A	77.76	5.62
LR	A	74.73	4.76
Adaboost	A	75.12	4.49
NB	B	71.98	4.43
DT	B	74.97	5.13
SVM	B	67.36	8.45
LR	B	76.07	4.98
Adaboost	B	69.43	5.09
NB	C	62.12	9.95
DT	C	73.40	5.52
SVM	C	72.42	8.51
LR	C	76.35	5.46
Adaboost	C	68.67	4.91
NB	D	60.42	10.47
DT	D	74.61	5.26
SVM	D	69.70	10.05
LR	D	76.71	5.20
Adaboost	D	68.95	4.82
