Classificadores	Modelos	Acuracias	Desvios
NB	A	49.02	5.62
DT	A	88.28	8.62
SVM	A	NA	NA
LR	A	74.58	12.97
Adaboost	A	94.28	3.47
NB	B	34.72	7.09
DT	B	78.28	6.11
SVM	B	NA	NA
LR	B	29.78	6.59
Adaboost	B	79.52	4.90
NB	C	60.32	7.62
DT	C	76.63	5.25
SVM	C	NA	NA
LR	C	77.13	5.06
Adaboost	C	78.77	4.54
NB	D	40.68	8.24
DT	D	80.16	7.49
SVM	D	NA	NA
LR	D	72.09	8.64
Adaboost	D	92.67	3.47
NB	E	41.10	6.32
DT	E	84.18	6.60
SVM	E	NA	NA
LR	E	85.47	6.14
Adaboost	E	83.83	4.54
